id,metadataproperty,description_href,description_title,description_nilreason,description,descriptionreference_href,descriptionreference_title,descriptionreference_nilreason,identifier_codespace,identifier,name,location_location,godlo,akt_rok,piksel,kolor,zrodlo_danych,uklad_xy,modul_archiwizacji,nr_zglosz,akt_data_frame,akt_data_id,akt_data_metadataproperty,akt_data_description_href,akt_data_description_title,akt_data_description_nilreason,akt_data_description,akt_data_descriptionreference_href,akt_data_descriptionreference_title,akt_data_descriptionreference_nilreason,akt_data_identifier_codespace,akt_data_identifier,akt_data_name,akt_data_relatedtime,akt_data_timeposition_frame,akt_data_timeposition_calendareraname,akt_data_timeposition_indeterminateposition,akt_data_timeposition,czy_ark_wypelniony,url_do_pobrania,dt_pzgik_frame,dt_pzgik_id,dt_pzgik_metadataproperty,dt_pzgik_description_href,dt_pzgik_description_title,dt_pzgik_description_nilreason,dt_pzgik_description,dt_pzgik_descriptionreference_href,dt_pzgik_descriptionreference_title,dt_pzgik_descriptionreference_nilreason,dt_pzgik_identifier_codespace,dt_pzgik_identifier,dt_pzgik_name,dt_pzgik_relatedtime,dt_pzgik_timeposition_frame,dt_pzgik_timeposition_calendareraname,dt_pzgik_timeposition_indeterminateposition,dt_pzgik_timeposition,wlk_pliku_mb,JPT_KOD_JE,JPT_SJR_KO,JPT_NAZWA_,JPT_POWIER,JPT_ORGAN_,JPT_KOD__1,JPT_NAZWA1,JPT_ORGAN1,JPT_WAZNA_,IIP_PRZEST,IIP_IDENTY,JPT_KJ_IIP,JPT_KJ_I_1,JPT_KJ_I_2,JPT_SPS_KO,JPT_POWI_1,JPT_KJ_I_3,JPT_JOR_ID,WERSJA_OD,WERSJA_DO,WAZNY_OD,WAZNY_DO,IIP_WERSJA,JPT_OPIS,JPT_ID,SHAPE_LENG,SHAPE_LE_1,SHAPE_AREA
SkorowidzOrtofomapy2017.535143,,,,,,,,,,,,,6.223.24.24,2017,0.05,RGB,Zdj. cyfrowe,PL-2000:S6,1:2000,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.535143.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66286/66286_535143_6.223.24.24.tif,,SkorowidzOrtofomapy2017.535143.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,415,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2017.535147,,,,,,,,,,,,,6.222.24.03,2017,0.05,RGB,Zdj. cyfrowe,PL-2000:S6,1:2000,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.535147.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66286/66286_535147_6.222.24.03.tif,,SkorowidzOrtofomapy2017.535147.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,394,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2017.535149,,,,,,,,,,,,,6.222.24.05,2017,0.05,RGB,Zdj. cyfrowe,PL-2000:S6,1:2000,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.535149.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66286/66286_535149_6.222.24.05.tif,,SkorowidzOrtofomapy2017.535149.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,405,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2017.535151,,,,,,,,,,,,,6.222.24.09,2017,0.05,RGB,Zdj. cyfrowe,PL-2000:S6,1:2000,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.535151.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66286/66286_535151_6.222.24.09.tif,,SkorowidzOrtofomapy2017.535151.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,368,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2017.535152,,,,,,,,,,,,,6.222.24.10,2017,0.05,RGB,Zdj. cyfrowe,PL-2000:S6,1:2000,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.535152.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66286/66286_535152_6.222.24.10.tif,,SkorowidzOrtofomapy2017.535152.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,376,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2017.535154,,,,,,,,,,,,,6.222.24.15,2017,0.05,RGB,Zdj. cyfrowe,PL-2000:S6,1:2000,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.535154.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66286/66286_535154_6.222.24.15.tif,,SkorowidzOrtofomapy2017.535154.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,372,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2017.535155,,,,,,,,,,,,,6.222.25.11,2017,0.05,RGB,Zdj. cyfrowe,PL-2000:S6,1:2000,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.535155.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66286/66286_535155_6.222.25.11.tif,,SkorowidzOrtofomapy2017.535155.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,404,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2017.535153,,,,,,,,,,,,,6.222.25.06,2017,0.05,RGB,Zdj. cyfrowe,PL-2000:S6,1:2000,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.535153.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66286/66286_535153_6.222.25.06.tif,,SkorowidzOrtofomapy2017.535153.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,408,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2017.535148,,,,,,,,,,,,,6.222.24.04,2017,0.05,RGB,Zdj. cyfrowe,PL-2000:S6,1:2000,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.535148.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66286/66286_535148_6.222.24.04.tif,,SkorowidzOrtofomapy2017.535148.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,388,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2017.534969,,,,,,,,,,,,,N-34-49-D-b-4-4-2,2017,0.05,RGB,Zdj. cyfrowe,PL-1992,1:2500,DFT.7201.021.2017,,SkorowidzOrtofomapy2017.534969.akt_data,,,,,,,,,,,,,,,,2017-05-12,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/66285/66285_534969_N-34-49-D-b-4-4-2.tif,,SkorowidzOrtofomapy2017.534969.dt_pzgik,,,,,,,,,,,,,,,,2018-02-27,267,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
