id,metadataproperty,description_href,description_title,description_nilreason,description,descriptionreference_href,descriptionreference_title,descriptionreference_nilreason,identifier_codespace,identifier,name,location_location,godlo,akt_rok,piksel,kolor,zrodlo_danych,uklad_xy,modul_archiwizacji,nr_zglosz,akt_data_frame,akt_data_id,akt_data_metadataproperty,akt_data_description_href,akt_data_description_title,akt_data_description_nilreason,akt_data_description,akt_data_descriptionreference_href,akt_data_descriptionreference_title,akt_data_descriptionreference_nilreason,akt_data_identifier_codespace,akt_data_identifier,akt_data_name,akt_data_relatedtime,akt_data_timeposition_frame,akt_data_timeposition_calendareraname,akt_data_timeposition_indeterminateposition,akt_data_timeposition,czy_ark_wypelniony,url_do_pobrania,dt_pzgik_frame,dt_pzgik_id,dt_pzgik_metadataproperty,dt_pzgik_description_href,dt_pzgik_description_title,dt_pzgik_description_nilreason,dt_pzgik_description,dt_pzgik_descriptionreference_href,dt_pzgik_descriptionreference_title,dt_pzgik_descriptionreference_nilreason,dt_pzgik_identifier_codespace,dt_pzgik_identifier,dt_pzgik_name,dt_pzgik_relatedtime,dt_pzgik_timeposition_frame,dt_pzgik_timeposition_calendareraname,dt_pzgik_timeposition_indeterminateposition,dt_pzgik_timeposition,wlk_pliku_mb,JPT_KOD_JE,JPT_SJR_KO,JPT_NAZWA_,JPT_POWIER,JPT_ORGAN_,JPT_KOD__1,JPT_NAZWA1,JPT_ORGAN1,JPT_WAZNA_,IIP_PRZEST,IIP_IDENTY,JPT_KJ_IIP,JPT_KJ_I_1,JPT_KJ_I_2,JPT_SPS_KO,JPT_POWI_1,JPT_KJ_I_3,JPT_JOR_ID,WERSJA_OD,WERSJA_DO,WAZNY_OD,WAZNY_DO,IIP_WERSJA,JPT_OPIS,JPT_ID,SHAPE_LENG,SHAPE_LE_1,SHAPE_AREA
SkorowidzOrtofomapy2022.1074817,,,,,,,,,,,,,N-34-50-D-c-4-4,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074817.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074817_N-34-50-D-c-4-4.tif,,SkorowidzOrtofomapy2022.1074817.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,735,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2022.1074798,,,,,,,,,,,,,N-34-50-C-d-1-4,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074798.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074798_N-34-50-C-d-1-4.tif,,SkorowidzOrtofomapy2022.1074798.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,708,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2022.1074813,,,,,,,,,,,,,N-34-50-D-c-3-3,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074813.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074813_N-34-50-D-c-3-3.tif,,SkorowidzOrtofomapy2022.1074813.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,884,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2022.1074806,,,,,,,,,,,,,N-34-50-C-d-3-4,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074806.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074806_N-34-50-C-d-3-4.tif,,SkorowidzOrtofomapy2022.1074806.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,766,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2022.1074853,,,,,,,,,,,,,N-34-62-B-b-1-2,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074853.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074853_N-34-62-B-b-1-2.tif,,SkorowidzOrtofomapy2022.1074853.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,786,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2022.1074814,,,,,,,,,,,,,N-34-50-D-c-3-4,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074814.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074814_N-34-50-D-c-3-4.tif,,SkorowidzOrtofomapy2022.1074814.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,771,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2022.1074816,,,,,,,,,,,,,N-34-50-D-c-4-3,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074816.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074816_N-34-50-D-c-4-3.tif,,SkorowidzOrtofomapy2022.1074816.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,776,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2022.1074855,,,,,,,,,,,,,N-34-62-B-b-1-4,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074855.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074855_N-34-62-B-b-1-4.tif,,SkorowidzOrtofomapy2022.1074855.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,714,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2022.1074852,,,,,,,,,,,,,N-34-62-B-b-1-1,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074852.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074852_N-34-62-B-b-1-1.tif,,SkorowidzOrtofomapy2022.1074852.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,814,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2022.1074815,,,,,,,,,,,,,N-34-50-D-c-4-1,2022,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.9.2022,,SkorowidzOrtofomapy2022.1074815.akt_data,,,,,,,,,,,,,,,,2022-04-29,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/76176/76176_1074815_N-34-50-D-c-4-1.tif,,SkorowidzOrtofomapy2022.1074815.dt_pzgik,,,,,,,,,,,,,,,,2022-11-16,185,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
