id,metadataproperty,description_href,description_title,description_nilreason,description,descriptionreference_href,descriptionreference_title,descriptionreference_nilreason,identifier_codespace,identifier,name,location_location,godlo,akt_rok,piksel,kolor,zrodlo_danych,uklad_xy,modul_archiwizacji,nr_zglosz,akt_data_frame,akt_data_id,akt_data_metadataproperty,akt_data_description_href,akt_data_description_title,akt_data_description_nilreason,akt_data_description,akt_data_descriptionreference_href,akt_data_descriptionreference_title,akt_data_descriptionreference_nilreason,akt_data_identifier_codespace,akt_data_identifier,akt_data_name,akt_data_relatedtime,akt_data_timeposition_frame,akt_data_timeposition_calendareraname,akt_data_timeposition_indeterminateposition,akt_data_timeposition,czy_ark_wypelniony,url_do_pobrania,dt_pzgik_frame,dt_pzgik_id,dt_pzgik_metadataproperty,dt_pzgik_description_href,dt_pzgik_description_title,dt_pzgik_description_nilreason,dt_pzgik_description,dt_pzgik_descriptionreference_href,dt_pzgik_descriptionreference_title,dt_pzgik_descriptionreference_nilreason,dt_pzgik_identifier_codespace,dt_pzgik_identifier,dt_pzgik_name,dt_pzgik_relatedtime,dt_pzgik_timeposition_frame,dt_pzgik_timeposition_calendareraname,dt_pzgik_timeposition_indeterminateposition,dt_pzgik_timeposition,wlk_pliku_mb,JPT_KOD_JE,JPT_SJR_KO,JPT_NAZWA_,JPT_POWIER,JPT_ORGAN_,JPT_KOD__1,JPT_NAZWA1,JPT_ORGAN1,JPT_WAZNA_,IIP_PRZEST,IIP_IDENTY,JPT_KJ_IIP,JPT_KJ_I_1,JPT_KJ_I_2,JPT_SPS_KO,JPT_POWI_1,JPT_KJ_I_3,JPT_JOR_ID,WERSJA_OD,WERSJA_DO,WAZNY_OD,WAZNY_DO,IIP_WERSJA,JPT_OPIS,JPT_ID,SHAPE_LENG,SHAPE_LE_1,SHAPE_AREA
SkorowidzOrtofomapy2020.915461,,,,,,,,,,,,,N-34-50-A-c-4-1,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915461.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915461_N-34-50-A-c-4-1.tif,,SkorowidzOrtofomapy2020.915461.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,23,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915474,,,,,,,,,,,,,N-34-50-C-a-1-3,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915474.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915474_N-34-50-C-a-1-3.tif,,SkorowidzOrtofomapy2020.915474.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,44,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915723,,,,,,,,,,,,,N-34-49-D-b-2-4,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915723.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915723_N-34-49-D-b-2-4.tif,,SkorowidzOrtofomapy2020.915723.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,44,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915926,,,,,,,,,,,,,N-34-49-B-d-4-2,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915926.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915926_N-34-49-B-d-4-2.tif,,SkorowidzOrtofomapy2020.915926.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,39,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915457,,,,,,,,,,,,,N-34-50-A-c-3-1,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915457.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915457_N-34-50-A-c-3-1.tif,,SkorowidzOrtofomapy2020.915457.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,37,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915458,,,,,,,,,,,,,N-34-50-A-c-3-2,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915458.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915458_N-34-50-A-c-3-2.tif,,SkorowidzOrtofomapy2020.915458.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,29,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915456,,,,,,,,,,,,,N-34-50-A-c-1-4,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915456.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915456_N-34-50-A-c-1-4.tif,,SkorowidzOrtofomapy2020.915456.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,40,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915720,,,,,,,,,,,,,N-34-49-D-b-2-1,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915720.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915720_N-34-49-D-b-2-1.tif,,SkorowidzOrtofomapy2020.915720.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,39,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915459,,,,,,,,,,,,,N-34-50-A-c-3-3,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915459.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915459_N-34-50-A-c-3-3.tif,,SkorowidzOrtofomapy2020.915459.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,38,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915721,,,,,,,,,,,,,N-34-49-D-b-2-2,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915721.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915721_N-34-49-D-b-2-2.tif,,SkorowidzOrtofomapy2020.915721.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,38,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915928,,,,,,,,,,,,,N-34-49-B-d-4-3,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915928.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915928_N-34-49-B-d-4-3.tif,,SkorowidzOrtofomapy2020.915928.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,36,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915916,,,,,,,,,,,,,N-34-49-B-d-3-2,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915916.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915916_N-34-49-B-d-3-2.tif,,SkorowidzOrtofomapy2020.915916.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,35,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915460,,,,,,,,,,,,,N-34-50-A-c-3-4,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915460.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915460_N-34-50-A-c-3-4.tif,,SkorowidzOrtofomapy2020.915460.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,38,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
SkorowidzOrtofomapy2020.915473,,,,,,,,,,,,,N-34-50-C-a-1-2,2020,0.25,RGB,Zdj. cyfrowe,PL-1992,1:5000,DFT.7201.016.2020,,SkorowidzOrtofomapy2020.915473.akt_data,,,,,,,,,,,,,,,,2020-04-11,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/73642/73642_915473_N-34-50-C-a-1-2.tif,,SkorowidzOrtofomapy2020.915473.dt_pzgik,,,,,,,,,,,,,,,,2020-09-02,46,226201_1,JEW,Gdynia - gmina miejska,"39151",,,,NZN,NZN,PL.PZGIK.200,fd9d8f8a-63d8-4448-9d35-b05265e0f335,EGIB,226201_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-01-12T00:00:00,,2025-02-28T16:25:41,,"2763406","1.47016084487","1.47016083956",".05432511825"
