id,metadataproperty,description_href,description_title,description_nilreason,description,descriptionreference_href,descriptionreference_title,descriptionreference_nilreason,identifier_codespace,identifier,name,location_location,godlo,akt_rok,piksel,kolor,zrodlo_danych,uklad_xy,modul_archiwizacji,nr_zglosz,akt_data_frame,akt_data_id,akt_data_metadataproperty,akt_data_description_href,akt_data_description_title,akt_data_description_nilreason,akt_data_description,akt_data_descriptionreference_href,akt_data_descriptionreference_title,akt_data_descriptionreference_nilreason,akt_data_identifier_codespace,akt_data_identifier,akt_data_name,akt_data_relatedtime,akt_data_timeposition_frame,akt_data_timeposition_calendareraname,akt_data_timeposition_indeterminateposition,akt_data_timeposition,czy_ark_wypelniony,url_do_pobrania,dt_pzgik_frame,dt_pzgik_id,dt_pzgik_metadataproperty,dt_pzgik_description_href,dt_pzgik_description_title,dt_pzgik_description_nilreason,dt_pzgik_description,dt_pzgik_descriptionreference_href,dt_pzgik_descriptionreference_title,dt_pzgik_descriptionreference_nilreason,dt_pzgik_identifier_codespace,dt_pzgik_identifier,dt_pzgik_name,dt_pzgik_relatedtime,dt_pzgik_timeposition_frame,dt_pzgik_timeposition_calendareraname,dt_pzgik_timeposition_indeterminateposition,dt_pzgik_timeposition,wlk_pliku_mb,JPT_KOD_JE,JPT_SJR_KO,JPT_NAZWA_,JPT_POWIER,JPT_ORGAN_,JPT_KOD__1,JPT_NAZWA1,JPT_ORGAN1,JPT_WAZNA_,IIP_PRZEST,IIP_IDENTY,JPT_KJ_IIP,JPT_KJ_I_1,JPT_KJ_I_2,JPT_SPS_KO,JPT_POWI_1,JPT_KJ_I_3,JPT_JOR_ID,WERSJA_OD,WERSJA_DO,WAZNY_OD,WAZNY_DO,IIP_WERSJA,JPT_OPIS,JPT_ID,SHAPE_LENG,SHAPE_LE_1,SHAPE_AREA
SkorowidzOrtofomapy2021.1014742,,,,,,,,,,,,,N-34-50-C-a-3-3,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014742.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014742_N-34-50-C-a-3-3.tif,,SkorowidzOrtofomapy2021.1014742.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1107,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2021.1014865,,,,,,,,,,,,,N-34-62-B-b-1-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014865.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014865_N-34-62-B-b-1-4.tif,,SkorowidzOrtofomapy2021.1014865.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,938,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2021.1014743,,,,,,,,,,,,,N-34-50-C-a-3-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014743.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014743_N-34-50-C-a-3-4.tif,,SkorowidzOrtofomapy2021.1014743.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1055,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2021.1014812,,,,,,,,,,,,,N-34-50-D-d-3-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014812.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014812_N-34-50-D-d-3-4.tif,,SkorowidzOrtofomapy2021.1014812.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,785,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2021.1014751,,,,,,,,,,,,,N-34-50-C-c-1-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014751.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014751_N-34-50-C-c-1-4.tif,,SkorowidzOrtofomapy2021.1014751.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1066,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2021.1014774,,,,,,,,,,,,,N-34-50-C-d-3-3,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014774.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014774_N-34-50-C-d-3-3.tif,,SkorowidzOrtofomapy2021.1014774.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,898,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2021.1014769,,,,,,,,,,,,,N-34-50-C-d-2-2,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014769.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014769_N-34-50-C-d-2-2.tif,,SkorowidzOrtofomapy2021.1014769.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,197,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2021.1014757,,,,,,,,,,,,,N-34-50-C-c-3-2,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014757.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014757_N-34-50-C-c-3-2.tif,,SkorowidzOrtofomapy2021.1014757.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1060,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2021.1014767,,,,,,,,,,,,,N-34-50-C-d-1-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014767.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014767_N-34-50-C-d-1-4.tif,,SkorowidzOrtofomapy2021.1014767.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,798,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
SkorowidzOrtofomapy2021.1014759,,,,,,,,,,,,,N-34-50-C-c-3-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014759.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014759_N-34-50-C-c-3-4.tif,,SkorowidzOrtofomapy2021.1014759.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1010,226101_1,JEW,Gdańsk - gmina miejska,"68295",,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,"0",,"13136",2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,"2763400","2.00162354083","2.00162353976",".09450928201"
