,gml_id,id,metadataproperty,description_href,description_title,description_nilreason,description,descriptionreference_href,descriptionreference_title,descriptionreference_nilreason,identifier_codespace,identifier,name,location_location,godlo,akt_rok,piksel,kolor,zrodlo_danych,uklad_xy,modul_archiwizacji,nr_zglosz,akt_data_frame,akt_data_id,akt_data_metadataproperty,akt_data_description_href,akt_data_description_title,akt_data_description_nilreason,akt_data_description,akt_data_descriptionreference_href,akt_data_descriptionreference_title,akt_data_descriptionreference_nilreason,akt_data_identifier_codespace,akt_data_identifier,akt_data_name,akt_data_relatedtime,akt_data_timeposition_frame,akt_data_timeposition_calendareraname,akt_data_timeposition_indeterminateposition,akt_data_timeposition,czy_ark_wypelniony,url_do_pobrania,dt_pzgik_frame,dt_pzgik_id,dt_pzgik_metadataproperty,dt_pzgik_description_href,dt_pzgik_description_title,dt_pzgik_description_nilreason,dt_pzgik_description,dt_pzgik_descriptionreference_href,dt_pzgik_descriptionreference_title,dt_pzgik_descriptionreference_nilreason,dt_pzgik_identifier_codespace,dt_pzgik_identifier,dt_pzgik_name,dt_pzgik_relatedtime,dt_pzgik_timeposition_frame,dt_pzgik_timeposition_calendareraname,dt_pzgik_timeposition_indeterminateposition,dt_pzgik_timeposition,wlk_pliku_mb,JPT_KOD_JE,JPT_SJR_KO,JPT_NAZWA_,JPT_POWIER,JPT_ORGAN_,JPT_KOD__1,JPT_NAZWA1,JPT_ORGAN1,JPT_WAZNA_,IIP_PRZEST,IIP_IDENTY,JPT_KJ_IIP,JPT_KJ_I_1,JPT_KJ_I_2,JPT_SPS_KO,JPT_POWI_1,JPT_KJ_I_3,JPT_JOR_ID,WERSJA_OD,WERSJA_DO,WAZNY_OD,WAZNY_DO,IIP_WERSJA,JPT_OPIS,JPT_ID,SHAPE_LENG,SHAPE_LE_1,SHAPE_AREA,layer,path
114,ggs21.26,SkorowidzOrtofomapy2021.1014811,,,,,,,,,,,,,N-34-62-A-a-2-2,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014811.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014811_N-34-62-A-a-2-2.tif,,SkorowidzOrtofomapy2021.1014811.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,980,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
115,ggs21.31,SkorowidzOrtofomapy2021.1014761,,,,,,,,,,,,,N-34-50-C-c-4-2,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014761.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014761_N-34-50-C-c-4-2.tif,,SkorowidzOrtofomapy2021.1014761.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,952,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
116,ggs21.32,SkorowidzOrtofomapy2021.1014763,,,,,,,,,,,,,N-34-50-C-c-4-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014763.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014763_N-34-50-C-c-4-4.tif,,SkorowidzOrtofomapy2021.1014763.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,925,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
117,ggs21.34,SkorowidzOrtofomapy2021.1014791,,,,,,,,,,,,,N-34-49-D-b-4-2,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014791.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014791_N-34-49-D-b-4-2.tif,,SkorowidzOrtofomapy2021.1014791.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1014,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
118,ggs21.39,SkorowidzOrtofomapy2021.1014748,,,,,,,,,,,,,N-34-50-C-c-1-1,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014748.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014748_N-34-50-C-c-1-1.tif,,SkorowidzOrtofomapy2021.1014748.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1079,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
119,ggs21.40,SkorowidzOrtofomapy2021.1014766,,,,,,,,,,,,,N-34-50-C-d-1-3,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014766.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014766_N-34-50-C-d-1-3.tif,,SkorowidzOrtofomapy2021.1014766.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,920,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
120,ggs21.41,SkorowidzOrtofomapy2021.1014773,,,,,,,,,,,,,N-34-50-C-d-3-2,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014773.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014773_N-34-50-C-d-3-2.tif,,SkorowidzOrtofomapy2021.1014773.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,812,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
121,ggs21.44,SkorowidzOrtofomapy2021.1014743,,,,,,,,,,,,,N-34-50-C-a-3-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014743.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014743_N-34-50-C-a-3-4.tif,,SkorowidzOrtofomapy2021.1014743.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1055,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
122,ggs21.48,SkorowidzOrtofomapy2021.1014751,,,,,,,,,,,,,N-34-50-C-c-1-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014751.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014751_N-34-50-C-c-1-4.tif,,SkorowidzOrtofomapy2021.1014751.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1066,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
123,ggs21.49,SkorowidzOrtofomapy2021.1014762,,,,,,,,,,,,,N-34-50-C-c-4-3,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014762.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014762_N-34-50-C-c-4-3.tif,,SkorowidzOrtofomapy2021.1014762.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1014,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
124,ggs21.51,SkorowidzOrtofomapy2021.1014774,,,,,,,,,,,,,N-34-50-C-d-3-3,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014774.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014774_N-34-50-C-d-3-3.tif,,SkorowidzOrtofomapy2021.1014774.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,898,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
125,ggs21.53,SkorowidzOrtofomapy2021.1014817,,,,,,,,,,,,,N-34-49-D-d-4-2,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014817.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014817_N-34-49-D-d-4-2.tif,,SkorowidzOrtofomapy2021.1014817.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1009,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
126,ggs21.55,SkorowidzOrtofomapy2021.1014820,,,,,,,,,,,,,N-34-49-D-d-4-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014820.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014820_N-34-49-D-d-4-4.tif,,SkorowidzOrtofomapy2021.1014820.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1061,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
127,ggs21.60,SkorowidzOrtofomapy2021.1014757,,,,,,,,,,,,,N-34-50-C-c-3-2,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014757.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014757_N-34-50-C-c-3-2.tif,,SkorowidzOrtofomapy2021.1014757.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,1060,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
128,ggs21.61,SkorowidzOrtofomapy2021.1014755,,,,,,,,,,,,,N-34-50-C-c-2-4,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014755.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014755_N-34-50-C-c-2-4.tif,,SkorowidzOrtofomapy2021.1014755.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,890,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
129,ggs21.64,SkorowidzOrtofomapy2021.1014776,,,,,,,,,,,,,N-34-50-C-d-4-1,2021,0.05,RGB,Zdj. cyfrowe,PL-1992,1:5000,GI-FOTO.6201.5.2021,,SkorowidzOrtofomapy2021.1014776.akt_data,,,,,,,,,,,,,,,,2021-05-01,TAK,https://opendata.geoportal.gov.pl/ortofotomapa/74865/74865_1014776_N-34-50-C-d-4-1.tif,,SkorowidzOrtofomapy2021.1014776.dt_pzgik,,,,,,,,,,,,,,,,2021-11-19,926,226101_1,JEW,Gdańsk - gmina miejska,68295.0,,,,NZN,NZN,PL.PZGIK.200,2b194616-cbeb-49dc-b933-8e4c4d930183,EGIB,226101_1,,,0.0,,13136.0,2025-02-28T16:25:41,,2012-02-25T00:00:00,,2025-02-28T16:25:41,,2763400.0,2.00162354083,2.00162353976,0.09450928201,ggs21wew,C:\Users\admin\Downloads\ggs21wew.gml|layername=ggs21wew
